split,threshold,precision,recall
val_cc,0.999962,1.000000,0.249125
val_cc,0.999962,1.000000,0.249537
val_cc,0.999962,1.000000,0.250154
val_cc,0.999962,1.000000,0.250360
val_cc,0.999962,1.000000,0.250772
val_cc,0.999961,1.000000,0.251390
val_cc,0.999961,1.000000,0.251802
val_cc,0.999961,1.000000,0.252007
val_cc,0.999961,1.000000,0.252213
val_cc,0.999961,1.000000,0.252625
val_cc,0.999960,1.000000,0.252831
val_cc,0.999960,1.000000,0.253037
val_cc,0.999960,1.000000,0.253655
val_cc,0.999960,1.000000,0.254272
val_cc,0.999960,1.000000,0.254478
val_cc,0.999960,1.000000,0.254890
val_cc,0.999960,1.000000,0.255508
val_cc,0.999960,1.000000,0.256125
val_cc,0.999959,1.000000,0.256331
val_cc,0.999959,1.000000,0.256949
val_cc,0.999959,1.000000,0.257155
val_cc,0.999959,1.000000,0.257566
val_cc,0.999959,1.000000,0.258596
val_cc,0.999959,1.000000,0.258802
val_cc,0.999959,1.000000,0.259419
val_cc,0.999958,1.000000,0.259625
val_cc,0.999958,1.000000,0.260449
val_cc,0.999958,1.000000,0.261067
val_cc,0.999958,1.000000,0.261478
val_cc,0.999957,1.000000,0.261684
val_cc,0.999957,1.000000,0.262096
val_cc,0.999957,1.000000,0.262302
val_cc,0.999957,1.000000,0.262919
val_cc,0.999957,1.000000,0.263125
val_cc,0.999957,1.000000,0.263743
val_cc,0.999956,1.000000,0.264361
val_cc,0.999956,1.000000,0.264772
val_cc,0.999956,1.000000,0.265184
val_cc,0.999956,1.000000,0.265596
val_cc,0.999956,1.000000,0.265802
val_cc,0.999956,1.000000,0.266008
val_cc,0.999956,1.000000,0.266214
val_cc,0.999955,1.000000,0.267243
val_cc,0.999955,1.000000,0.267449
val_cc,0.999955,1.000000,0.267655
val_cc,0.999955,1.000000,0.268273
val_cc,0.999955,1.000000,0.268478
val_cc,0.999955,1.000000,0.268890
val_cc,0.999955,1.000000,0.269096
val_cc,0.999954,1.000000,0.269508
val_cc,0.999954,1.000000,0.269920
val_cc,0.999954,1.000000,0.270126
val_cc,0.999954,1.000000,0.270537
val_cc,0.999954,1.000000,0.270743
val_cc,0.999953,1.000000,0.270949
val_cc,0.999953,1.000000,0.271567
val_cc,0.999953,1.000000,0.271979
val_cc,0.999953,1.000000,0.272184
val_cc,0.999952,1.000000,0.272390
val_cc,0.999952,1.000000,0.274449
val_cc,0.999952,1.000000,0.274655
val_cc,0.999952,1.000000,0.275067
val_cc,0.999952,1.000000,0.275479
val_cc,0.999952,1.000000,0.275890
val_cc,0.999952,1.000000,0.276302
val_cc,0.999951,1.000000,0.276920
val_cc,0.999951,1.000000,0.277332
val_cc,0.999951,1.000000,0.277743
val_cc,0.999951,1.000000,0.278155
val_cc,0.999950,1.000000,0.278361
val_cc,0.999950,1.000000,0.278567
val_cc,0.999950,1.000000,0.278773
val_cc,0.999950,1.000000,0.279391
val_cc,0.999950,1.000000,0.279802
val_cc,0.999950,1.000000,0.280214
val_cc,0.999950,1.000000,0.280420
val_cc,0.999950,1.000000,0.280832
val_cc,0.999949,1.000000,0.281244
val_cc,0.999949,1.000000,0.281655
val_cc,0.999949,1.000000,0.282067
val_cc,0.999949,1.000000,0.282273
val_cc,0.999949,1.000000,0.282479
val_cc,0.999949,1.000000,0.282685
val_cc,0.999949,1.000000,0.283302
val_cc,0.999948,1.000000,0.283508
val_cc,0.999948,1.000000,0.283920
val_cc,0.999948,1.000000,0.284332
val_cc,0.999948,1.000000,0.284744
val_cc,0.999948,1.000000,0.284950
val_cc,0.999948,1.000000,0.285361
val_cc,0.999948,1.000000,0.285979
val_cc,0.999947,1.000000,0.286391
val_cc,0.999947,1.000000,0.286597
val_cc,0.999947,1.000000,0.286803
val_cc,0.999947,1.000000,0.287214
val_cc,0.999947,1.000000,0.288450
val_cc,0.999947,1.000000,0.288656
val_cc,0.999946,1.000000,0.288861
val_cc,0.999946,1.000000,0.289067
val_cc,0.999946,1.000000,0.289273
val_cc,0.999946,1.000000,0.289685
val_cc,0.999946,1.000000,0.289891
val_cc,0.999946,1.000000,0.290097
val_cc,0.999946,1.000000,0.290714
val_cc,0.999946,1.000000,0.290920
val_cc,0.999945,1.000000,0.291332
val_cc,0.999945,1.000000,0.291538
val_cc,0.999945,1.000000,0.292156
val_cc,0.999945,1.000000,0.292362
val_cc,0.999945,1.000000,0.292979
val_cc,0.999945,1.000000,0.293391
val_cc,0.999945,1.000000,0.293597
val_cc,0.999945,1.000000,0.294009
val_cc,0.999944,1.000000,0.294215
val_cc,0.999944,1.000000,0.294420
val_cc,0.999944,1.000000,0.294626
val_cc,0.999944,1.000000,0.295244
val_cc,0.999944,1.000000,0.295450
val_cc,0.999943,1.000000,0.295656
val_cc,0.999943,1.000000,0.295862
val_cc,0.999943,1.000000,0.296068
val_cc,0.999942,1.000000,0.296273
val_cc,0.999942,1.000000,0.296479
val_cc,0.999942,1.000000,0.297097
val_cc,0.999942,1.000000,0.297509
val_cc,0.999942,1.000000,0.297715
val_cc,0.999942,1.000000,0.298538
val_cc,0.999941,1.000000,0.298744
val_cc,0.999941,1.000000,0.298950
val_cc,0.999941,1.000000,0.299362
val_cc,0.999941,1.000000,0.299774
val_cc,0.999941,1.000000,0.299979
val_cc,0.999941,1.000000,0.301009
val_cc,0.999941,1.000000,0.301215
val_cc,0.999941,1.000000,0.302038
